"strategy","v1trans","v2trans","vUptake","relax","R0","virus","other"
"Aggressive Elimination",50,50,60,0,2.5,6.62,275.52
"Aggressive Elimination",50,50,60,0,3.125,9.93,432.57
"Aggressive Elimination",50,50,60,0,3.75,15.16,639.79
"Aggressive Elimination",50,50,60,1,2.5,8.15,70.24
"Aggressive Elimination",50,50,60,1,3.125,15.2,166.84
"Aggressive Elimination",50,50,60,1,3.75,26.88,412.19
"Aggressive Elimination",50,50,75,0,2.5,5.53,262.51
"Aggressive Elimination",50,50,75,0,3.125,8.43,408.86
"Aggressive Elimination",50,50,75,0,3.75,12.86,603.9
"Aggressive Elimination",50,50,75,1,2.5,6.57,66.84
"Aggressive Elimination",50,50,75,1,3.125,11.84,142.3
"Aggressive Elimination",50,50,75,1,3.75,21.42,377.39
"Aggressive Elimination",50,50,90,0,2.5,4.71,248.22
"Aggressive Elimination",50,50,90,0,3.125,6.78,365.46
"Aggressive Elimination",50,50,90,0,3.75,11.52,605.49
"Aggressive Elimination",50,50,90,1,2.5,5.36,65.91
"Aggressive Elimination",50,50,90,1,3.125,9.11,128.75
"Aggressive Elimination",50,50,90,1,3.75,17.04,328.54
"Aggressive Elimination",50,75,60,0,2.5,6.01,254.49
"Aggressive Elimination",50,75,60,0,3.125,9.14,405.7
"Aggressive Elimination",50,75,60,0,3.75,14.18,623.66
"Aggressive Elimination",50,75,60,1,2.5,7.06,68.42
"Aggressive Elimination",50,75,60,1,3.125,12.51,148.88
"Aggressive Elimination",50,75,60,1,3.75,22.67,354.14
"Aggressive Elimination",50,75,75,0,2.5,5.1,235.24
"Aggressive Elimination",50,75,75,0,3.125,7.65,380.05
"Aggressive Elimination",50,75,75,0,3.75,11.65,578.98
"Aggressive Elimination",50,75,75,1,2.5,5.71,66.94
"Aggressive Elimination",50,75,75,1,3.125,9.45,133.6
"Aggressive Elimination",50,75,75,1,3.75,17.27,315.65
"Aggressive Elimination",50,75,90,0,2.5,4.18,220.66
"Aggressive Elimination",50,75,90,0,3.125,6.1,327.06
"Aggressive Elimination",50,75,90,0,3.75,10.25,552.47
"Aggressive Elimination",50,75,90,1,2.5,4.54,66.35
"Aggressive Elimination",50,75,90,1,3.125,7.28,128.74
"Aggressive Elimination",50,75,90,1,3.75,13.55,287.04
"Aggressive Elimination",50,90,60,0,2.5,5.41,227.34
"Aggressive Elimination",50,90,60,0,3.125,8.43,384.57
"Aggressive Elimination",50,90,60,0,3.75,13.43,607.07
"Aggressive Elimination",50,90,60,1,2.5,6.45,66.97
"Aggressive Elimination",50,90,60,1,3.125,10.58,142.2
"Aggressive Elimination",50,90,60,1,3.75,19.99,330.48
"Aggressive Elimination",50,90,75,0,2.5,4.58,210.79
"Aggressive Elimination",50,90,75,0,3.125,6.84,336.46
"Aggressive Elimination",50,90,75,0,3.75,10.75,546.1
"Aggressive Elimination",50,90,75,1,2.5,5.1,66.39
"Aggressive Elimination",50,90,75,1,3.125,8.24,136.5
"Aggressive Elimination",50,90,75,1,3.75,14.63,295.78
"Aggressive Elimination",50,90,90,0,2.5,3.86,188.39
